computer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,gmm_score
C2106,0.4752711,-0.7760553,0.24942417,1.0417455,0.468616,-0.31178004,1.2212967,0.52152866,0.52996695,-0.044067763,0.1133653,-0.6392043,0.22803214,1.0600092,-0.93468004,-0.8648033,-0.8542708,0.56248677,0.44828102,0.64838624,0.6781585,0.6694376,1.5064607,-0.7608669,0.43949363,-0.017410252,0.33321103,-0.5408233,0.28368038,-0.5538793,-1.3856703,0.10736988,-25.60443968986902
C1640,-0.31828195,-0.6290866,0.83050305,0.59135926,0.120691895,-0.5883009,0.95900494,0.10867145,-0.45046997,-0.052158237,-0.053297304,0.82414776,0.277339,0.5743932,-0.83797246,-0.25541374,-0.49504966,0.83087033,0.17242087,1.2454983,1.0551026,0.7848797,1.3458273,-0.8077913,0.38384277,-0.5078577,-0.9128443,0.030896602,0.14108576,-1.039641,-0.66887534,-0.75117755,-26.14740290533707
C1964,-0.67467505,-0.69729865,0.48190525,1.5349174,-0.7702724,-0.35313013,1.7659233,0.52935714,0.14542483,-0.6367281,-0.35632357,0.21794724,0.56522477,-0.18677947,-1.145355,-0.54940987,-0.83634555,0.7366026,0.1423993,0.37655234,-0.003552941,1.6217935,1.2996211,-1.4872936,0.55214655,-0.18253608,-0.41493937,0.25791922,-0.3428716,-0.13155155,-0.55280036,-0.0024549926,-27.37582351713942
C523,-0.64196086,-0.9992338,0.49489856,1.5418204,-0.857768,-0.048821557,1.5804075,1.0273391,-0.32485786,-0.4719533,0.3699391,-0.10125292,0.17684287,-0.36056066,-1.2754425,-0.35760972,-0.52304524,0.22102368,0.0298788,0.25878695,0.65514016,1.9082516,1.1556084,-1.0790122,0.09847247,-0.087036334,-0.2685842,0.07111176,-0.26769027,-0.085198544,-0.6402615,0.202988,-27.911662442284264
C1015,-0.37494856,-1.0093101,0.81864196,1.427035,-0.7940042,-0.8644332,1.4716605,0.64130914,-0.029315272,-0.14991625,0.27034065,0.02103944,0.6739628,-0.4100983,-1.119561,-0.7303954,-0.8423923,0.98224,-0.098300785,0.20738675,0.3951759,1.4899676,1.0317285,-1.0317944,0.16418181,-0.14573026,-0.20576762,0.56070447,-0.39836624,0.006857471,-1.2744994,-0.14792907,-29.117966199098912
C11519,-0.4550162,-1.4299666,0.6168857,1.4135774,-1.048255,-0.50275505,1.6912706,0.37656066,-0.39180905,-0.029190382,-0.03340103,0.3732432,0.68234146,-0.4484893,-1.3999292,-1.1242615,-0.24955732,1.1856841,0.57258666,-0.20366013,0.33935216,1.4483941,1.2130868,-0.93946815,0.1407283,-0.17747198,0.11007605,0.30494645,0.16224241,-0.22208163,-1.0486279,0.01388531,-29.137545115121494
C553,-0.5588229,-0.8112194,0.88597,1.4164981,-1.2533319,-0.13664547,1.8632982,0.8593956,-0.2131866,-0.1024505,0.6154924,-0.07510048,0.3800705,-0.11245614,-0.72808063,-0.5500217,-0.27272028,0.5156836,-0.060967047,-0.010861454,0.53041184,1.6904156,1.3097897,-1.0786706,0.2819872,-0.06414859,0.08669614,0.082030736,-0.4300537,-0.29892603,-0.5526218,-0.15289341,-29.140311584666545
C2327,0.17524517,-0.98817337,0.648987,0.4250223,0.39999604,-1.2251319,0.5366597,0.044861533,-0.39512354,-0.1167201,0.085729085,-0.3403362,0.33153588,0.08558535,-0.5297571,-0.76037353,-0.24804159,0.7661094,0.23691693,0.6317331,0.40360725,0.38520703,0.6451994,-0.060743168,-0.08242188,-0.26757392,0.081063904,0.23138979,0.100509875,-0.42632037,-0.97238654,-0.38545185,-30.089788378501236
C528,-0.20844352,-0.9924528,0.6426879,1.5780197,-0.88633376,-0.25116387,1.6615832,0.6137102,-0.043879587,-0.29284182,-0.086397074,-0.097716056,0.38139585,-0.14432982,-1.0556983,-0.45188227,-0.5651577,0.71977174,-0.12674654,0.52126604,0.5551684,1.521609,1.1662334,-1.10418,0.32263952,-0.19417787,-0.15959804,0.22638066,-0.39502066,-0.27174845,-0.8122588,-0.15272978,-30.186841147825103
C457,-0.33342898,-0.9358541,0.6427388,1.316136,-0.8540973,-0.41697377,1.5792572,0.7598132,-0.071547166,-0.21686627,0.25394875,-0.00820708,0.3621549,-0.143802,-1.269879,-0.39323387,-0.4512436,0.92941654,0.05253375,0.6448448,0.6272572,1.6136309,1.2725904,-1.1987832,0.4226694,-0.23024382,-0.0065323254,0.22684507,-0.10127949,-0.07887327,-0.7830525,-0.15221652,-31.05482474750313
