src_user,total_events,success_ratio,fail_ratio,unique_dst,night_ratio,self_user_ratio,iforest_score
U22@DOM1,39673,0.9221636881506314,0.0,19,1.0,0.9999747939404633,0.3018556464105364
U292@DOM1,13366,1.0,0.0,33,1.0,0.9783779739637887,0.29098828762466755
C104$@DOM1,20536,0.9962991819244253,0.0,21,1.0,1.0,0.2895376553660052
U199@DOM1,1355,0.829520295202952,0.0,23,1.0,0.8856088560885609,0.2880426810202198
C523$@DOM1,5861,0.9948814195529773,0.0,25,1.0,0.9858385940965706,0.28790724650260124
U66@DOM1,35706,1.0,0.0,131,1.0,0.9998879740099703,0.2877510576620066
C599$@DOM1,18381,0.9987487079049018,0.0,22,1.0,1.0,0.2860207705758937
C1114$@DOM1,15486,0.9979981919152783,0.0,21,1.0,1.0,0.285428222737257
U824@DOM1,1868,0.6895074946466809,0.0,19,1.0,0.9293361884368309,0.28508810541486374
U53@DOM1,966,0.968944099378882,0.0,2,1.0,0.0,0.28482222797585266
C1085$@DOM1,4502,0.9928920479786761,0.0,21,1.0,0.9857840959573523,0.2826785996665395
U78@DOM1,3813,1.0,0.0,43,1.0,0.914503015997902,0.28014666901428176
C988$@DOM1,3811,0.9910784570978746,0.0,21,1.0,0.9842561007609552,0.27879244940866665
C567$@DOM1,16819,1.0,0.0,21,1.0,1.0,0.27858325596194555
C1617$@DOM1,15884,1.0,0.0,21,1.0,1.0,0.27858325596194555
C538$@DOM1,14667,1.0,0.0,21,1.0,1.0,0.2783199111202721
C1766$@DOM1,15517,1.0,0.0,21,1.0,1.0,0.2783199111202721
C123$@DOM1,13908,1.0,0.0,21,1.0,1.0,0.27726742217926137
C698$@DOM1,3009,1.0,0.0,8,1.0,0.09803921568627451,0.2764687831759989
C1794$@DOM1,12935,1.0,0.0,21,1.0,1.0,0.2756913567338418
C1527$@DOM1,2294,0.002179598953792502,0.0,10,1.0,0.9978204010462075,0.27522023232860127
C20653$@DOM1,2184,0.0018315018315018315,0.0,10,1.0,0.9981684981684982,0.2735143728585182
U1718@?,35,0.0,0.0,32,1.0,1.0,0.27135288944273894
C2649$@DOM1,1801,0.002220988339811216,0.0,10,1.0,0.9977790116601888,0.26741785064656176
U24@DOM1,2539,0.9996061441512406,0.0,32,1.0,0.9196534068530917,0.2665355913023968
U164@DOM1,1594,1.0,0.0,3,1.0,0.11731493099121706,0.26490675889710136
U6@DOM1,6254,1.0,0.0,21,1.0,0.9976015350175887,0.2621947854117628
U7@DOM1,8698,1.0,0.0,19,1.0,0.9986203724994251,0.2602823574999703
U608@DOM1,3361,0.961916096399881,0.0,14,1.0,0.9586432609342458,0.2595110645713108
U118@DOM1,3921,1.0,0.0,3,1.0,0.6483040040805916,0.25664764890314906
U113@DOM1,4825,1.0,0.0,1,1.0,0.7639378238341968,0.2536594689917918
U4965@DOM1,1187,0.0,0.0,1,1.0,1.0,0.24810391966582224
C1931$@DOM1,3943,1.0,0.0,21,1.0,1.0,0.24598235312191186
U8195@?,142,0.0,0.0,17,1.0,1.0,0.24545075186245513
U399@DOM5,373,1.0,0.0,1,1.0,0.0,0.24325193721647254
U9612@DOM1,12,0.4166666666666667,0.0,2,1.0,0.5833333333333334,0.23895303163193005
C1708$@DOM1,5021,1.0,0.0,17,1.0,1.0,0.23857122801979735
C101$@DOM1,5540,1.0,0.0,16,1.0,0.9891696750902527,0.2382829284654494
U94@DOM1,8291,1.0,0.0,3,1.0,0.9302858521288144,0.237119505687581
U358@C2039,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1611,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1382,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1503,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C291,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1139,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C2521,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1042,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U5101@DOM1,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C2057,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C2254,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C742,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C466,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C241,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1567,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1993,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U358@C1089,2,0.5,0.0,2,1.0,0.5,0.23568483662421424
U10497@DOM1,5,0.4,0.0,2,1.0,0.6,0.23480061434631783
U7351@C1596,6,0.3333333333333333,0.0,3,1.0,0.6666666666666666,0.23354497242141403
ANONYMOUS LOGON@C586,58775,1.0,0.0,1,1.0,1.0,0.23280675893847536
C2096$@?,889,0.0,0.0,2,1.0,1.0,0.23257472268998025
C5167$@DOM1,43,0.046511627906976744,0.0,10,1.0,0.9534883720930233,0.23111855823141636
U400@C832,443,1.0,0.0,1,1.0,0.16027088036117382,0.22946577278602953
U63@DOM1,8696,1.0,0.0,14,1.0,0.9983900643974241,0.2288457550286358
C1737$@DOM1,1880,1.0,0.0,20,1.0,0.9680851063829787,0.22786191420498947
C2480$@DOM1,1036,0.17664092664092665,0.0,8,1.0,0.9855212355212355,0.22767396761023895
C553$@DOM1,4903,1.0,0.0,15,1.0,0.987762594330002,0.22632939147055275
U8060@DOM1,1909,1.0,0.0,25,1.0,1.0,0.22414474327298617
C885$@DOM1,728,1.0,0.0,7,1.0,0.2087912087912088,0.22271019749009735
U12@DOM1,2380,0.9991596638655462,0.0,18,1.0,0.9991596638655462,0.22085874987858145
C21761$@DOM1,187,0.0427807486631016,0.0,9,1.0,0.9518716577540107,0.22080763705793516
C22516$@DOM1,13350,1.0,0.0,11,1.0,0.9991760299625468,0.21878111342314455
