src_user,total_events,success_ratio,fail_ratio,unique_dst,night_ratio,self_user_ratio,iforest_score
U297@DOM21,3,1.0,0.0,1,1.0,0.0,0.2780169040723349
U53@DOM1,522,0.9693486590038314,0.0,2,0.032567049808429116,0.0,0.26124770666562824
U1571@DOM1,3,1.0,0.0,1,1.0,0.3333333333333333,0.2598999811012065
U1593@DOM1,3,1.0,0.0,1,1.0,0.3333333333333333,0.2598999811012065
C2588$@DOM1,535,0.9271028037383178,0.0,5,0.011214953271028037,0.08785046728971962,0.25011565922563206
U399@DOM5,708,1.0,0.0,1,0.007062146892655367,0.0,0.24975880963763064
C698$@DOM1,1761,1.0,0.0,7,0.03236797274275979,0.1641113003975014,0.24908978410594984
U794@DOM1,7,1.0,0.0,1,0.5714285714285714,0.42857142857142855,0.24264163190383192
U400@C832,826,1.0,0.0,1,0.00847457627118644,0.14285714285714285,0.24036410222436444
U758@C2765,2,1.0,0.0,1,0.5,0.5,0.233898633853577
C2162$@DOM1,455,0.3252747252747253,0.0,47,0.008791208791208791,1.0,0.23293341686026814
C7298$@DOM1,476,0.3319327731092437,0.0,39,0.01680672268907563,1.0,0.23238367479173916
C10$@DOM1,619,0.3651050080775444,0.0,86,0.0032310177705977385,1.0,0.23175875519709466
U633@DOM1,6,1.0,0.0,1,0.16666666666666666,0.0,0.23111868012431835
C2480$@DOM1,433,0.3648960739030023,0.0,33,0.023094688221709007,0.9976905311778291,0.22859153402235655
C12257$@DOM1,19,0.9473684210526315,0.0,1,0.0,0.0,0.22508203221226997
NETWORK SERVICE@C1786,7,0.8571428571428571,0.0,1,0.0,0.0,0.2247598629108406
U199@DOM1,741,0.8326585695006747,0.0,24,0.024291497975708502,0.9068825910931174,0.22343734051755637
C801$@DOM1,224,0.45535714285714285,0.0,26,0.09821428571428571,1.0,0.21999377505759088
U66@DOM1,18017,1.0,0.0,116,0.03241383138147305,0.9999444968640728,0.21989029998078113
U2234@?,1,0.0,0.0,1,1.0,1.0,0.21983827547958978
U8237@?,1,0.0,0.0,1,1.0,1.0,0.21983827547958978
U292@DOM1,7099,1.0,0.0,33,0.036906606564304834,0.9794337230595859,0.21933873739361365
C1015$@DOM1,416,0.49759615384615385,0.0,42,0.0,1.0,0.21869099930310065
U7@DOM1,6677,1.0,0.0,21,0.10229144825520443,0.993110678448405,0.21718342209856412
U3087@DOM1,15,1.0,0.0,3,0.4,0.5333333333333333,0.21350267527226452
C1737$@DOM1,1474,0.9959294436906377,0.0,29,0.0203527815468114,0.9531886024423338,0.21099338752670893
C922$@DOM1,195,0.7948717948717948,0.0,35,0.0,0.7948717948717948,0.20863455213426463
C1085$@DOM1,2975,0.9936134453781512,0.0,22,0.03663865546218487,0.9892436974789915,0.2066570572030786
C24100$@DOM1,688,0.0,0.0,10,0.0436046511627907,1.0,0.20651077894086833
C1114$@DOM1,19328,0.9990687086092715,0.0,23,0.020333195364238412,1.0,0.2056293311884858
C104$@DOM1,12284,0.9976392054705308,0.0,23,0.02629436665581244,1.0,0.20467184418456008
C599$@DOM1,26293,0.9996196706347698,0.0,23,0.01939679762674476,1.0,0.2029732228490856
U113@DOM1,3294,1.0,0.0,1,0.0358227079538555,0.8151183970856102,0.2026596065632057
C523$@DOM1,2931,0.9945411122483794,0.0,20,0.03616513135448653,0.9856704196519959,0.20056164432574108
U9016@?,767,0.0,0.0,2,0.07431551499348109,1.0,0.20055667220373197
U1565@C2125,5,1.0,0.0,1,0.2,0.4,0.19868014179070248
C1766$@DOM1,12832,1.0,0.0,23,0.02976932668329177,1.0,0.1983816393201454
U1430@?,8,0.0,0.0,4,0.375,1.0,0.19690873389293573
C1794$@DOM1,11621,1.0,0.0,23,0.025815334308579296,1.0,0.19539573174019575
U746@DOM1,9,1.0,0.0,1,0.2222222222222222,0.4444444444444444,0.19521529820942107
C1617$@DOM1,6688,1.0,0.0,23,0.030651913875598086,1.0,0.19461201497385017
C988$@DOM1,2664,0.9943693693693694,0.0,20,0.03003003003003003,0.987987987987988,0.19455312866227648
C567$@DOM1,9523,1.0,0.0,23,0.021316811929013964,1.0,0.19445167131838414
C538$@DOM1,8697,1.0,0.0,22,0.03219500977348511,1.0,0.19376332329928214
C123$@DOM1,8883,1.0,0.0,22,0.02330293819655522,1.0,0.19241860829545432
U24@DOM1,1803,1.0,0.0,22,0.009428729894620078,0.8985024958402662,0.18993641428778751
C2075$@DOM1,1312,0.9977134146341463,0.0,30,0.01676829268292683,1.0,0.1890343527981292
U883@C1681,11,1.0,0.0,1,0.18181818181818182,0.45454545454545453,0.18747824951453873
U1718@?,23,0.0,0.0,21,0.0,1.0,0.18667194443453927
U11365@C698,8,0.625,0.0,2,0.125,0.75,0.1866186606554785
U42@DOM15,46,1.0,0.0,4,0.08695652173913043,0.15217391304347827,0.18529202788745214
U346@DOM1,4370,1.0,0.0,7,0.26842105263157895,0.9981693363844394,0.18382344955297714
C24471$@DOM1,957,1.0,0.0,10,0.06060606060606061,0.6687565308254964,0.18323275658551197
U10091@DOM1,18,1.0,0.0,1,0.0,0.0,0.1831944282334791
U891@?,8,0.0,0.0,2,0.375,1.0,0.18307954643770397
C1708$@DOM1,3165,1.0,0.0,21,0.04960505529225909,1.0,0.1823248306189591
U6@DOM1,3246,1.0,0.0,21,0.035736290819470114,0.9922982131854591,0.18210827907197613
U4965@DOM1,480,0.0,0.0,1,0.03958333333333333,1.0,0.1814444821694562
U5821@DOM1,130,0.2846153846153846,0.0,9,0.0,0.7153846153846154,0.18134160861218507
U10035@DOM67,13,1.0,0.0,1,0.0,0.0,0.18068078301209067
SYSTEM@C793,13,1.0,0.0,1,0.0,0.0,0.18068078301209067
NETWORK SERVICE@C3058,11,1.0,0.0,1,0.0,0.0,0.1803479436270078
U5376@DOM21,7,1.0,0.0,2,0.0,0.0,0.18012553799318864
U79@C1731,762,1.0,0.0,1,0.03280839895013123,0.6023622047244095,0.18003500509550152
U843@DOM68,6,1.0,0.0,2,0.0,0.0,0.1797870350308951
U2057@DOM1,8,1.0,0.0,1,0.0,0.0,0.1794478477694318
U11396@DOM201,8,1.0,0.0,1,0.0,0.0,0.1794478477694318
U5236@DOM1,9,1.0,0.0,1,0.0,0.0,0.1792163358707174
U9786@DOM1,9,1.0,0.0,1,0.0,0.0,0.1792163358707174
U5305@DOM1,9,1.0,0.0,1,0.0,0.0,0.1792163358707174
U2492@DOM21,5,1.0,0.0,2,0.0,0.0,0.17917406541694658
U10509@DOM67,4,1.0,0.0,2,0.0,0.0,0.17904841750542055
U1220@DOM21,4,1.0,0.0,2,0.0,0.0,0.17904841750542055
U65@C1669,759,1.0,0.0,1,0.03162055335968379,0.613965744400527,0.17896227985887403
U456@DOM5,2,1.0,0.0,2,0.0,0.0,0.1789606086245782
U1718@DOM100,2,1.0,0.0,2,0.0,0.0,0.1789606086245782
C1065$@DOM1,5032,0.9930445151033387,0.0,7,0.0397456279809221,0.9248807631160573,0.17873952224926293
U3234@DOM60,3,1.0,0.0,2,0.0,0.0,0.1784217837626143
U447@DOM21,5,1.0,0.0,3,0.0,0.0,0.17802570598726908
U11388@DOM21,7,1.0,0.0,1,0.0,0.0,0.17718343792146507
U7408@DOM21,7,1.0,0.0,1,0.0,0.0,0.17718343792146507
U6020@DOM1,7,1.0,0.0,1,0.0,0.0,0.17718343792146507
C457$@DOM1,4938,0.9953422438234103,0.0,4,0.009113001215066828,0.8969218307006885,0.1758874337587344
U6221@DOM1,5,1.0,0.0,1,0.0,0.0,0.17555684539630845
U500@DOM21,5,1.0,0.0,1,0.0,0.0,0.17555684539630845
U526@DOM21,5,1.0,0.0,1,0.0,0.0,0.17555684539630845
U7278@DOM1,5,1.0,0.0,1,0.0,0.0,0.17555684539630845
U4113@DOM21,5,1.0,0.0,1,0.0,0.0,0.17555684539630845
C3073$@DOM1,353,0.0,0.0,8,0.06232294617563739,1.0,0.1751636685667558
NETWORK SERVICE@C3547,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
C14202$@DOM1,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
NETWORK SERVICE@C2125,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
U5408@DOM1,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
U595@DOM21,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
C13026$@DOM1,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
U11387@DOM60,4,1.0,0.0,1,0.0,0.0,0.17475863230752398
C10054$@DOM1,48,0.22916666666666666,0.0,8,0.0,0.7708333333333334,0.17475839880193456
C1931$@DOM1,2241,1.0,0.0,22,0.05176260597947345,1.0,0.17445966685043257
U10963@C23308,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C1678,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
C374$@DOM51,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U2816@DOM21,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U6620@DOM1,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C2737,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
SYSTEM@C1268,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U1106@DOM3,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
SYSTEM@C583,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U1390@DOM3,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C2626,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U4347@C10984,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
SYSTEM@C21708,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C3108,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
SYSTEM@C556,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C8406,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
NETWORK SERVICE@C1745,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
C24212$@DOM1,2,1.0,0.0,1,0.0,0.0,0.17332080089845026
U7761@DOM1,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
NETWORK SERVICE@C2472,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
U3371@DOM21,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
SYSTEM@C4313,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
NETWORK SERVICE@C1929,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
U8257@DOM21,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
SYSTEM@C21706,3,1.0,0.0,1,0.0,0.0,0.17305666057553393
C6153$@DOM1,237,1.0,0.0,16,0.3459915611814346,0.9113924050632911,0.1723553646840933
C2096$@?,520,0.0,0.0,2,0.032692307692307694,1.0,0.17213662513662598
SYSTEM@C621,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
U1720@C8540,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
U3656@DOM21,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
U8755@DOM21,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
NETWORK SERVICE@C2127,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
U5869@C4923,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
SYSTEM@C5653,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
U10778@C5489,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
C3421$@DOM1,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
C3321$@DOM1,1,1.0,0.0,1,0.0,0.0,0.17197670788194463
