src_user,total_events,success_ratio,fail_ratio,unique_dst,night_ratio,self_user_ratio,iforest_score
U22@DOM1,55236,0.939097689912376,0.0,19,1.0,0.9999818958650156,0.3017020921803143
U66@DOM1,40945,1.0,0.0,138,1.0,0.9998534619611674,0.29427507640767525
C1114$@DOM1,31326,0.9966800740598863,0.0,22,1.0,1.0,0.2927021039173816
C599$@DOM1,38133,0.9996590879290903,0.0,22,1.0,1.0,0.2838511580094527
C104$@DOM1,24867,0.9980295170306028,0.0,21,1.0,1.0,0.28322039753130834
U292@DOM1,17651,1.0,0.0,33,1.0,0.9802844031499631,0.2829211832109265
C123$@DOM1,19431,0.9972209356183418,0.0,22,1.0,1.0,0.2825507625423056
U53@DOM1,4288,0.9841417910447762,0.0,3,1.0,0.03661380597014925,0.2799580226134757
C523$@DOM1,6705,0.9946308724832215,0.0,25,1.0,0.9858314690529456,0.273214218442863
C567$@DOM1,20004,1.0,0.0,21,1.0,1.0,0.2672838569722633
U78@DOM1,6845,1.0,0.0,45,1.0,0.9441928414901388,0.26387163727296137
C1794$@DOM1,14492,0.9995859784708805,0.0,22,1.0,1.0,0.2625558855537997
C1617$@DOM1,16438,1.0,0.0,22,1.0,1.0,0.26007939142865955
C538$@DOM1,15151,1.0,0.0,22,1.0,1.0,0.25751243921552736
C1766$@DOM1,15009,1.0,0.0,21,1.0,1.0,0.2562821223743087
C1085$@DOM1,5207,0.9921259842519685,0.0,21,1.0,0.9857883618206261,0.25406978986282847
U24@DOM1,3588,0.9994425863991081,0.0,34,1.0,0.915273132664437,0.25339270546731263
C988$@DOM1,4945,0.991304347826087,0.0,20,1.0,0.9856420626895854,0.2506761605574771
U75@DOM1,15483,1.0,0.0,3,1.0,0.8050765355551249,0.24787198564918556
U7@DOM1,9440,1.0,0.0,21,1.0,0.9989406779661016,0.2367574203773053
U6@DOM1,8501,1.0,0.0,21,1.0,0.9982355017056816,0.2344834415679058
ANONYMOUS LOGON@C586,35544,1.0,0.0,1,1.0,1.0,0.23237158473661013
U63@DOM1,10588,0.9997166603702304,0.0,16,1.0,0.9982055156781262,0.2268138453279016
U164@DOM1,1846,1.0,0.0,4,1.0,0.10238353196099675,0.22553580796487438
U20@DOM1,529,0.9886578449905482,0.0,19,1.0,0.8525519848771267,0.22540337371711372
U399@DOM5,548,1.0,0.0,1,1.0,0.0,0.22092711177002955
C743$@DOM1,22676,1.0,0.0,11,1.0,1.0,0.22045411938631976
C2653$@DOM1,702,0.0014245014245014246,0.0,10,1.0,0.9985754985754985,0.2161173339527872
C3131$@DOM1,742,0.0,0.0,9,1.0,1.0,0.21430360181353691
U94@DOM1,10665,1.0,0.0,3,1.0,0.936333802156587,0.21205750677285795
C2096$@?,1280,0.0,0.0,2,1.0,1.0,0.21070054545127248
U113@DOM1,6812,1.0,0.0,1,1.0,0.8041691133294186,0.2087156571242731
C585$@DOM1,26819,1.0,0.0,6,1.0,1.0,0.2076866316443019
C586$@DOM1,10455,0.997895743663319,0.0,9,1.0,0.9926351028216165,0.20723337677481724
U118@DOM1,4237,1.0,0.0,3,1.0,0.61552985603021,0.20615344782474454
